repo,path,package,installed_version,fixed_version,vuln_id,severity,cvss,title
defense-factory/ms-user-service,package-lock.json,axios,0.21.1,0.21.2,CVE-2021-3749,HIGH,7.5,nodejs-axios: Regular expression denial of service in trim function
defense-factory/ms-user-service,package-lock.json,axios,0.21.1,0.30.0,CVE-2025-27152,HIGH,5.3,axios: Possible SSRF and Credential Leakage via Absolute URL in axios Requests
defense-factory/ms-user-service,package-lock.json,axios,0.21.1,0.30.3,CVE-2026-25639,HIGH,7.5,axios: Axios affected by Denial of Service via __proto__ Key in mergeConfig
defense-factory/ms-user-service,package-lock.json,axios,0.21.1,0.31.1,CVE-2026-42033,HIGH,7.4,axios: Axios: HTTP Transport Hijacking via Prototype Pollution
defense-factory/ms-user-service,package-lock.json,axios,0.21.1,0.31.1,CVE-2026-42035,HIGH,7.4,axios: Axios: Arbitrary HTTP header injection via prototype pollution
defense-factory/ms-user-service,package-lock.json,axios,0.21.1,0.31.1,CVE-2026-42043,HIGH,10,axios: Axios: NO_PROXY bypass via crafted URL
defense-factory/ms-user-service,package-lock.json,axios,0.21.1,0.32.0,CVE-2026-44486,HIGH,7.5,axios: Axios: Information disclosure of proxy credentials via HTTP redirects
defense-factory/ms-user-service,package-lock.json,axios,0.21.1,0.32.0,CVE-2026-44487,HIGH,7.5,axios: Axios: Information disclosure of proxy credentials via redirect flows
defense-factory/ms-user-service,package-lock.json,axios,0.21.1,0.32.0,CVE-2026-44492,HIGH,8.6,axios: Axios: Proxy bypass via IPv4-mapped IPv6 address non-normalization
defense-factory/ms-user-service,package-lock.json,axios,0.21.1,0.31.1,CVE-2026-44495,HIGH,7.7,axios: Axios: Information disclosure due to prototype pollution vulnerability
defense-factory/ms-user-service,package-lock.json,axios,0.21.1,0.32.0,CVE-2026-44496,HIGH,7.5,axios: Axios: Client-side Denial of Service via unescaped regex metacharacters in XSRF cookie name
defense-factory/ms-user-service,package-lock.json,axios,0.21.1,0.28.0,CVE-2023-45857,MEDIUM,6.5,axios: exposure of confidential data stored in cookies
defense-factory/ms-user-service,package-lock.json,axios,0.21.1,0.31.0,CVE-2025-62718,MEDIUM,9.9,axios: Axios: Server-Side Request Forgery and proxy bypass due to improper hostname normalization
defense-factory/ms-user-service,package-lock.json,axios,0.21.1,0.31.0,CVE-2026-40175,MEDIUM,4.8,axios: Axios: Remote Code Execution via Prototype Pollution escalation
defense-factory/ms-user-service,package-lock.json,axios,0.21.1,0.31.1,CVE-2026-42034,MEDIUM,5.3,axios: Axios: Denial of Service via oversized streamed uploads bypassing body limits
defense-factory/ms-user-service,package-lock.json,axios,0.21.1,0.31.1,CVE-2026-42036,MEDIUM,5.3,axios: Axios: Denial of Service via unbounded stream consumption when 'responseType: 'stream'' is used
defense-factory/ms-user-service,package-lock.json,axios,0.21.1,0.31.1,CVE-2026-42038,MEDIUM,7.5,axios: Axios: Information disclosure due to `no_proxy` bypass
defense-factory/ms-user-service,package-lock.json,axios,0.21.1,0.31.1,CVE-2026-42039,MEDIUM,7.5,axios: Node.js: Axios: Denial of Service via unbounded recursion in toFormData with deeply nested request data
defense-factory/ms-user-service,package-lock.json,axios,0.21.1,0.31.1,CVE-2026-42041,MEDIUM,6.5,axios: Axios: Authentication bypass due to prototype pollution of HTTP error handling
defense-factory/ms-user-service,package-lock.json,axios,0.21.1,0.31.1,CVE-2026-42042,MEDIUM,6.1,axios: Axios: XSRF token bypass leading to information disclosure
defense-factory/ms-user-service,package-lock.json,axios,0.21.1,0.32.0,CVE-2026-44490,MEDIUM,8.2,axios: Axios: Information disclosure and denial of service due to prototype pollution
defense-factory/ms-user-service,package-lock.json,axios,0.21.1,0.33.0,CVE-2026-67316,MEDIUM,7.4,axios: axios: Prototype Pollution allows unauthorized data transmission and network redirection
defense-factory/ms-user-service,package-lock.json,axios,0.21.1,0.33.0,CVE-2026-67319,MEDIUM,3.7,axios: axios: Information disclosure and data manipulation via prototype pollution
defense-factory/ms-user-service,package-lock.json,axios,0.21.1,0.31.1,CVE-2026-42040,LOW,3.7,axios: Axios: Incorrect null byte handling can lead to data integrity issues
defense-factory/ms-user-service,package-lock.json,body-parser,1.19.0,1.20.3,CVE-2024-45590,HIGH,7.5,body-parser: Denial of Service Vulnerability in body-parser
defense-factory/ms-user-service,package-lock.json,body-parser,1.19.0,1.20.6,CVE-2026-12590,LOW,5.9,body-parser: body-parser: Denial of Service via invalid limit option
defense-factory/ms-user-service,package-lock.json,cookie,0.4.0,0.7.0,CVE-2024-47764,LOW,3.7,"cookie: cookie accepts cookie name, path, and domain with out of bounds characters"
defense-factory/ms-user-service,package-lock.json,express,4.17.1,4.19.2,CVE-2024-29041,MEDIUM,6.1,express: cause malformed URLs to be evaluated
defense-factory/ms-user-service,package-lock.json,express,4.17.1,4.20.0,CVE-2024-43796,LOW,4.7,express: Improper Input Handling in Express Redirects
defense-factory/ms-user-service,package-lock.json,jsonwebtoken,8.5.1,9.0.0,CVE-2022-23539,HIGH,8.1,jsonwebtoken: Unrestricted key type could lead to legacy keys usagen
defense-factory/ms-user-service,package-lock.json,jsonwebtoken,8.5.1,9.0.0,CVE-2022-23540,MEDIUM,7.6,jsonwebtoken: Insecure default algorithm in jwt.verify() could lead to signature validation bypass
defense-factory/ms-user-service,package-lock.json,jsonwebtoken,8.5.1,9.0.0,CVE-2022-23541,MEDIUM,6.3,jsonwebtoken: Insecure implementation of key retrieval function could lead to Forgeable Public/Private Tokens from RSA to HMAC
defense-factory/ms-user-service,package-lock.json,lodash,4.17.15,4.17.19,CVE-2020-8203,HIGH,7.4,nodejs-lodash: prototype pollution in zipObjectDeep function
